           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
             29.6            -39.2               20       -10.151035       -38.261272       -18.833096       -11.149519         -5.01122        20.831642
             30.4            -39.2               20        -29.11441        26.104916       -20.016109        27.444529        16.047176       0.33830988
             31.2            -39.2               20        38.079662        29.778942        28.986036        26.848297       -11.782796        -11.96486
               32            -39.2               20        28.021076       -57.390499        33.432228       -27.255716       -14.194411         17.63501
             32.8            -39.2               20         -66.5242       -35.602348       -23.352005       -36.068989        28.799166        18.892685
             33.6            -39.2               20       -44.099564        68.266174        -31.10289        17.848566        19.429081       -30.783781
             34.4            -39.2               20        59.709476        37.363026        11.368753        24.909636       -31.886463       -23.068712
             35.2            -39.2               20        33.823341       -41.745266        7.9783587        -10.61157       -13.226111        28.850647
               36            -39.2               20       -24.270607       -2.2227645        -7.143332        3.4383593        23.417418        6.5498524
             36.8            -39.2               20        21.658144        14.646063        18.542231         12.84895       -7.0434794       -18.418245
             37.6            -39.2               20        6.0461435       -45.026836         12.28088       -25.510904       -14.336242        21.398809
             38.4            -39.2               20       -65.154099       -3.7407041       -30.023489       -12.932087        27.058821        6.4399776
             39.2            -39.2               20        4.5707498        55.387505       -6.6660633        30.054661      -0.86011314        -37.99947
               40            -39.2               20        55.749413        -13.94645          26.8606       -3.8706465       -32.407204        14.616928
              -40            -38.4               20         3.606513         57.99099        4.4636574       -31.223417        7.5674295        30.099104
            -39.2            -38.4               20       -49.415859        3.4903922        32.146358        14.530346       -28.493858       -5.3206673
            -38.4            -38.4               20        1.7085443        -38.87722       -17.276802        26.087606        11.443014       -11.092131
            -37.6            -38.4               20        2.6597214        10.386874       -16.325756        -15.51992        2.5011446        18.809944
            -36.8            -38.4               20        -23.79818       -19.590244        15.539967       -2.4637365       -22.143074       -15.504792
              -36            -38.4               20        43.965446         -35.1562        -13.01731        11.689395        22.722399       -26.972359
            -35.2            -38.4               20        52.122395        58.121773       -15.103067       -21.687483        27.966661        26.034086
